brand,name,feedbacks,nmFeedbacks,id,rating,reviewRating,root,optionId,basic,product
АСЕПТА,"Зубная паста Parodontal Актив, 75 мл",100,100,153143477,4,4.1,201888222,256088955,627.0,564.0
Асепта,зубная паста active,0,0,442458324,0,0.0,436699958,626267492,1433.0,748.0
Асепта,набор комплексный здоровые десны,0,0,419776041,0,0.0,411576957,600155815,2770.0,1221.0
АСЕПТА,Актив ополаскиватель для рта 250мл - 3 шт,1,1,238961840,5,5.0,172564700,375923607,2500.0,1417.0
АСЕПТА,Актив Ополаскиватель для полости рта 250мл Флак-2шт,0,0,284162466,0,0.0,265249240,435408892,2907.0,1229.0
АСЕПТА,Актив Ополаскиватель для полости рта 250мл Флак-2шт,0,0,300784161,0,0.0,281041680,457035731,2723.0,1200.0
Асепта,"Зубная паста Актив, 75 мл",4,4,175555443,4,4.3,160368358,290932368,1683.0,1105.0
АСЕПТА,Актив Ополаскиватель для полости рта 250мл Флак-3шт,0,0,265192110,0,0.0,243342359,411569952,4011.0,1732.0
Асепта,"Зубная паста Актив, 75 мл",17,17,175555440,4,3.8,160368358,290932365,2239.0,1471.0
Асепта,Ополаскиватель для рта ACTIVE,5,5,212876974,5,5.0,192226034,340275992,2096.0,1433.0
Асепта,Актив Ополаскиватель для полости рта 250мл Флак-3шт,1,1,244303169,5,5.0,212240057,383217156,3470.0,1717.0
Асепта,Актив Ополаскиватель для полости рта 250мл Флак-2шт,0,0,240301484,0,0.0,212240057,377740611,2397.0,1186.0
АСЕПТА,"Зубная паста Parodontal Актив, 2 упаковки по 75 мл",38,38,211235741,4,4.1,201888222,337797611,1011.0,909.0
АСЕПТА РАСТВОР ДЛЯ РТА,Асепта Актив ополаскиватель для полости рта 250 мл 3 шт,0,0,230679692,0,0.0,207473328,364235416,4400.0,1980.0
Асепта,актив ополаскиватель для полости рта 250 мл - 2 шт,0,0,241788340,0,0.0,213462921,379827775,2602.0,1241.0
Асепта,набор комплексный здоровые десны,0,0,313194386,0,0.0,294391745,473244987,2523.0,1203.0
Асепта,набор комплексный здоровые десны - 1 шт,1,1,237373445,5,5.0,213425086,373627748,2559.0,1220.0
Асепта,набор комплексный здоровые десны,0,0,420984303,0,0.0,413182478,601598992,2465.0,1175.0
Асепта,набор комплексный здоровые десны,0,0,414990752,0,0.0,407195353,594668727,2780.0,1225.0
АСЕПТА,Active Зубная Паста 75мл - 2 шт,1,1,265146395,5,5.0,243286044,411500122,2209.0,954.0
АСЕПТА,Ополаскиватель Актив против кровоточивости десен,35,35,84348978,5,4.8,66833754,138055374,657.0,591.0
Асепта,Ополаскиватель для рта ACTIVE,3,3,212876973,5,5.0,192226034,340275991,1313.0,898.0
Асепта,набор комплексный здоровые десны 2 шт,0,0,419776042,0,0.0,411576957,600155816,5266.0,2322.0
Асепта,актив ополаскиватель для полости рта 250 мл - 3 шт,0,0,241788341,0,0.0,213462921,379827776,3734.0,1781.0
Асепта,набор комплексный здоровые десны,0,0,418534169,0,0.0,410284561,598703497,2817.0,1242.0
АСЕПТА,Актив Ополаскиватель для полости рта 250мл Флак-1шт,0,0,300784165,0,0.0,281041680,457035735,1584.0,698.0
Асепта,набор комплексный здоровые десны 2 шт,0,0,372249471,0,0.0,363882722,543781434,5478.0,2366.0
Асепта,набор комплексный здоровые десны 2 шт,0,0,420984304,0,0.0,413182478,601598993,4685.0,2234.0
Асепта,набор комплексный здоровые десны 2 шт,0,0,414990753,0,0.0,407195353,594668728,5274.0,2325.0
АСЕПТА,Актив ополаскиватель для полости рта 250 мл,180,180,214055443,5,4.9,185054899,341791782,575.0,424.0
АСЕПТА,Актив Ополаскиватель для полости рта 250мл Флак-2шт,0,0,265192112,0,0.0,243342359,411569953,2769.0,1196.0
Асепта,набор комплексный здоровые десны 3 шт,0,0,419776043,0,0.0,411576957,600155821,7764.0,3423.0
Асепта,набор комплексный здоровые десны 5 шт,0,0,406273032,0,0.0,399481046,584609971,11576.0,5625.0
Асепта,набор комплексный здоровые десны,0,0,372249470,0,0.0,363882722,543781433,2888.0,1247.0
Асепта,набор комплексный здоровые десны 2 шт,0,0,418534170,0,0.0,410284561,598703500,5349.0,2358.0
Асепта,Ополаскиватель для рта ACTIVE,9,9,212876972,5,5.0,192226034,340275990,2880.0,1969.0
Асепта,набор комплексный здоровые десны 3 шт,0,0,372249472,0,0.0,363882722,543781435,8067.0,3484.0
Асепта,набор комплексный здоровые десны 3 шт,0,0,420984305,0,0.0,413182478,601598994,6904.0,3293.0
Асепта,набор комплексный здоровые десны 3 шт,0,0,414990754,0,0.0,407195353,594668729,7766.0,3424.0
Асепта,зубная паста active,0,0,454404624,0,0.0,453226569,640931064,1433.0,902.0
Асепта,Набор Комплексный Здоровые Десны 1 шт,10,10,211004756,5,5.0,190718716,337476737,2900.0,1200.0
АСЕПТА,Зубная паста Sensitive 75 мл + ополаскиватель актив 250 мл,0,0,190498643,0,0.0,172900747,311505249,2700.0,1215.0
Асепта,"Parodontal Active зубная паста от воспаления десен, 75мл",0,0,317969885,0,0.0,299412198,479520666,566.0,452.0
Асепта,"бальзам для десен адгезивный 10,0",0,0,414608565,0,0.0,406821234,594232558,1590.0,701.0
Асепта,Ополаскиватель для полости рта Active 250 мл п у,3,3,227510622,4,3.7,204728985,359950297,1211.0,544.0
Асепта,набор комплексный здоровые десны 3 шт,0,0,418534173,0,0.0,410284561,598703502,7882.0,3475.0
АСЕПТА,Актив Ополаскиватель для полости рта 250мл Флак-1шт,0,0,265192109,0,0.0,243342359,411569951,1650.0,712.0
