brand,name,feedbacks,nmFeedbacks,id,rating,reviewRating,root,optionId,basic,product
KAISER,"Сухой корм для кошек с курицей и индейкой 1,5 кг",952,952,238618517,5,4.9,214470360,375457012,1600.0,972.0
ProBalance,Корм сухой для кошек для иммунитета с индейкой Immuno 1.8кг,3007,3007,10434921,5,4.9,7917281,33772837,1375.0,617.0
PALPITO,"Сухой корм для кошек Urinary 1,5 кг с курицей",1936,1936,183780777,5,4.9,167265525,302890492,1995.0,737.0
Мираторг,"Сухой корм для кошек, с ягненком,0,3кг",4305,4305,13925076,5,4.8,119656810,41788003,155.0,125.0
Secret for Pets,корм для кошек сухой для стерилизованных 2 кг,2634,2634,148643348,5,4.9,126947812,249632966,8962.0,1048.0
PET’S BRUNCH,Сухой корм для кошек уринари при МКБ Urinary 2кг,2200,2200,204847552,5,4.9,185610565,329471545,2000.0,1620.0
Mr.Buffalo,"Корм для кошек стерилизованных сухой 1,8 кг Мистер Баффало",498,498,41451699,5,4.9,31017347,83310307,2338.0,1262.0
Jarvi elaman,"Сухой корм для взрослых кошек и котов, Курица, 800 г",115,115,253067552,5,4.9,161910951,395106010,1612.0,1289.0
Secret for Pets,корм для кошек сухой Secret Premium ягненок 2 кг,232,232,155840970,5,4.8,148225787,260066077,1641.0,1063.0
ROXFOX,"Сухой корм для кошек с говядиной 1,5 кг",143,143,331650099,5,4.8,223025598,496242676,1212.0,415.0
NATURE'S TABLE,"Сухой корм для кошек, с курицей, 2шт по 650г",290,290,180898230,5,5.0,164886833,298876236,1871.0,1137.0
BLITZ,Корм для кошек сухой 2 кг с курицей,313,313,97705334,5,4.9,386892521,154803030,1830.0,881.0
Secret for Pets,корм для кошек сухой цыпленок и рис 2 кг,2726,2726,148643353,5,4.8,126924479,249632971,14472.0,911.0
belkorm,Корм сухой для кошек с мясом и овощами 10 кг,7415,7415,204058774,5,4.8,184763291,328490659,4700.0,2411.0
Мираторг,"Сухой корм для кошек, с говядиной,0,75кг",3487,3487,140079855,5,4.9,10419433,237594224,345.0,224.0
Jarvi elaman,"Сухой корм для взрослых кошек и котов Курица, 1,5 кг",192,192,177420741,5,4.9,161910951,293792774,2800.0,2240.0
Best dinner,"Сухой корм для кошек, для кожи и шерсти, утка и клюква 1.5кг",371,371,36514912,5,4.9,13806984,75922671,2443.0,2154.0
Zillii,Сухой корм для кошек от шерсти 400г,675,675,176853758,5,4.9,511840663,292934049,844.0,445.0
Мираторг,"Сухой корм для кошек, с курицей,0,75кг",5254,5254,13925079,5,4.9,10419415,41788006,345.0,269.0
